Date,Price,Open,High,Low,Volume,Chg%
14-Oct-22,85.61,89.27,89.73,85.2,0,-3.93%
13-Oct-22,89.11,87.08,89.66,85.56,298.03K,2.11%
12-Oct-22,87.27,88.67,90.07,86.28,332.27K,-2.33%
11-Oct-22,89.35,91.14,91.35,87.91,333.16K,-1.95%
10-Oct-22,91.13,93.48,93.64,90.54,289.51K,-1.63%
7-Oct-22,92.64,88.93,93.31,88,429.16K,4.74%
6-Oct-22,88.45,88.08,89.07,87.04,235.30K,0.79%
5-Oct-22,87.76,86.37,88.42,85.42,329.79K,1.43%
4-Oct-22,86.52,83.22,86.98,83.22,302.55K,3.46%
3-Oct-22,83.63,81.02,84.56,80.87,287.17K,5.21%
30-Sep-22,79.49,81.74,82.56,79.14,253.15K,-2.14%
29-Sep-22,81.23,81.9,82.94,80.34,286.13K,-1.12%
28-Sep-22,82.15,78.08,82.34,76.55,324.68K,4.65%
27-Sep-22,78.5,76.47,79.51,76.42,283.61K,2.33%
26-Sep-22,76.71,79.23,80.31,76.25,280.93K,-2.58%
23-Sep-22,78.74,83.54,83.92,78.04,334.27K,-5.69%
22-Sep-22,83.49,83.07,86,82.4,303.49K,0.66%
21-Sep-22,82.94,84.25,86.68,82.49,339.68K,-1.79%
20-Sep-22,84.45,85.61,86.45,83.52,26.23K,-1.49%
19-Sep-22,85.73,85.21,86.22,82.1,59.63K,0.73%
16-Sep-22,85.11,85.16,86.59,84.27,87.83K,0.01%
15-Sep-22,85.1,88.91,89.15,84.53,235.36K,-3.82%
14-Sep-22,88.48,87.94,90.19,86.18,335.38K,1.34%
13-Sep-22,87.31,88.09,89.31,85.06,348.00K,-0.54%
12-Sep-22,87.78,86.25,89.1,85.16,275.10K,1.14%
9-Sep-22,86.79,82.8,87.2,82.71,305.19K,4.59%
8-Sep-22,82.98,82.06,84.23,81.2,0,1.27%
7-Sep-22,81.94,86.93,87.76,81.5,380.78K,-5.69%
6-Sep-22,86.88,86.84,90.39,86.18,420.26K,-2.34%
5-Sep-22,88.96,88.27,90.37,87.98,0,0.80%
4-Sep-22,88.25,86.91,88.28,86.91,0,1.59%
2-Sep-22,86.87,86.56,89.66,86.35,277.53K,0.30%
1-Sep-22,86.61,88.83,89.63,85.98,305.11K,-3.28%
31-Aug-22,89.55,92.31,92.73,88.27,344.15K,-2.28%
30-Aug-22,91.64,96.9,97.66,90.54,386.27K,-5.54%
29-Aug-22,97.01,92.96,97.37,92.29,283.46K,4.24%
26-Aug-22,93.06,93.06,94.02,91.08,288.39K,0.58%
25-Aug-22,92.52,95.35,95.76,92.29,279.88K,-2.50%
24-Aug-22,94.89,93.78,95.4,92.79,320.39K,1.23%
23-Aug-22,93.74,90.55,94.22,90.42,285.61K,3.89%
22-Aug-22,90.23,89.65,91.26,86.6,24.87K,-0.59%
19-Aug-22,90.77,90.39,92.09,88.38,58.71K,0.30%
18-Aug-22,90.5,87.39,91.46,87.32,80.03K,2.71%
17-Aug-22,88.11,87.1,89.16,85.88,230.35K,1.83%
16-Aug-22,86.53,87.93,90.65,85.73,305.37K,-3.22%
15-Aug-22,89.41,91.94,92.1,86.82,275.44K,-2.91%
12-Aug-22,92.09,94.09,94.81,91.16,264.95K,-2.38%
11-Aug-22,94.34,91.55,95.05,91.24,341.23K,2.62%
10-Aug-22,91.93,90.51,92.43,87.66,383.77K,1.58%
9-Aug-22,90.5,90.69,92.65,89.05,347.05K,-0.29%
8-Aug-22,90.76,88.46,90.89,87.22,340.16K,1.97%
5-Aug-22,89.01,88.06,90.76,87.01,350.02K,0.53%
4-Aug-22,88.54,90.95,91.9,87.55,334.93K,-2.34%
3-Aug-22,90.66,93.83,96.57,90.38,395.10K,-3.98%
2-Aug-22,94.42,93.75,96.47,92.59,328.54K,0.56%
1-Aug-22,93.89,98.46,98.65,92.42,365.29K,-4.80%
29-Jul-22,98.62,97.3,101.88,96.41,349.37K,2.28%
28-Jul-22,96.42,98.17,99.84,96.04,318.40K,-0.86%
27-Jul-22,97.26,95.6,98.59,94.3,321.90K,2.40%
26-Jul-22,94.98,96.33,99,94.76,310.04K,-1.78%
25-Jul-22,96.7,95.1,96.94,93.01,279.00K,2.11%
22-Jul-22,94.7,96.51,97.95,94.23,307.57K,-1.71%
21-Jul-22,96.35,99.91,99.99,94.59,318.91K,-5.78%
20-Jul-22,102.26,103.6,104.39,101.51,28.96K,-1.88%
19-Jul-22,104.22,102,104.46,99.85,63.15K,1.58%
18-Jul-22,102.6,97.27,102.8,95.85,84.67K,5.13%
15-Jul-22,97.59,96.39,99.03,94.57,240.77K,1.89%
14-Jul-22,95.78,96.57,97,90.56,387.53K,-0.54%
13-Jul-22,96.3,95.89,97.96,93.67,347.19K,0.48%
12-Jul-22,95.84,103.46,103.49,95.35,398.55K,-7.93%
11-Jul-22,104.09,104.79,105.05,100.89,348.57K,-0.67%
8-Jul-22,104.79,102.22,105.24,101.51,0,2.01%
7-Jul-22,102.73,98.22,104.48,96.57,379.86K,4.26%
6-Jul-22,98.53,100.36,102.14,95.1,444.11K,-0.97%
5-Jul-22,99.5,108.8,111.45,97.43,594.22K,-9.87%
4-Jul-22,110.4,108.17,110.77,107.25,0,2.04%
3-Jul-22,108.19,108.67,108.81,108.14,0,-0.22%
1-Jul-22,108.43,106.01,109.34,104.56,305.34K,2.52%
30-Jun-22,105.76,109.7,110.45,105.1,362.89K,-3.66%
29-Jun-22,109.78,111.86,114.05,109.22,322.06K,-1.77%
28-Jun-22,111.76,110.18,112.22,109.62,306.75K,2.00%
27-Jun-22,109.57,107.22,110.54,105.6,282.91K,1.81%
24-Jun-22,107.62,103.99,108.58,103.64,321.59K,3.21%
23-Jun-22,104.27,104.42,107.05,102.32,346.36K,-1.81%
22-Jun-22,106.19,109.54,109.76,101.53,432.72K,-4.03%
21-Jun-22,110.65,110.58,112.47,108.72,28.46K,1.66%
20-Jun-22,108.84,108.97,109.17,106.84,0,-0.09%
19-Jun-22,108.94,108.97,109.34,108.78,0,-0.57%
17-Jun-22,109.56,117.08,118.97,108.25,103.15K,-6.83%
16-Jun-22,117.59,115.98,118.08,112.31,162.54K,1.98%
15-Jun-22,115.31,119.07,119.61,114.6,301.75K,-3.04%
14-Jun-22,118.93,121.09,123.68,116.62,366.32K,-1.65%
13-Jun-22,120.93,120.19,122.25,117.47,372.40K,0.22%
10-Jun-22,120.67,121.46,122.75,118.33,352.91K,-0.69%
9-Jun-22,121.51,122.43,122.72,120.79,293.30K,-0.49%
8-Jun-22,122.11,119.79,123.18,119.3,340.59K,2.26%
7-Jun-22,119.41,119.1,120.36,117.14,341.69K,0.77%
6-Jun-22,118.5,120.82,120.99,117.63,246.83K,-0.31%
3-Jun-22,118.87,117.55,120.46,115.23,240.83K,1.71%
2-Jun-22,116.87,114.8,117.77,111.2,327.60K,1.40%
1-Jun-22,115.26,115.4,117.87,114.58,290.53K,0.51%
31-May-22,114.67,114.96,119.98,114.15,440.80K,-2.50%
30-May-22,117.61,115.58,117.79,115.39,0,1.73%
29-May-22,115.61,115.3,115.81,115.2,0,0.47%
27-May-22,115.07,114.2,115.3,112.85,217.28K,0.86%
26-May-22,114.09,110.69,114.83,110.27,234.75K,3.41%
25-May-22,110.33,110.39,111.68,109.23,191.37K,0.51%
24-May-22,109.77,110.41,111.43,108.61,224.79K,-0.47%
23-May-22,110.29,110.56,111.96,109.15,215.62K,-2.60%
20-May-22,113.23,111.45,114.04,110.85,20.00K,0.91%
19-May-22,112.21,109.09,112.62,105.13,68.51K,2.39%
18-May-22,109.59,113.66,115.42,108.46,103.67K,-2.50%
